emp_no,dept_no,from_date,to_date
11055,d007,1998-03-08,9999-01-01
11062,d004,1990-10-18,9999-01-01
11079,d005,1994-05-26,9999-01-01
11089,d007,1994-08-13,9999-01-01
11103,d005,1989-03-15,9999-01-01
11117,d004,1994-08-22,9999-01-01
11119,d004,1994-06-21,1995-10-23
11133,d006,1994-03-06,9999-01-01
11161,d004,1988-05-31,9999-01-01
11167,d004,1990-01-10,9999-01-01
11175,d005,1996-11-29,9999-01-01
11186,d004,1994-12-10,9999-01-01
11209,d004,1999-04-25,2000-02-08
11209,d009,2000-02-08,9999-01-01
11216,d004,1999-05-03,9999-01-01
11218,d006,1994-04-06,2002-04-19
11226,d007,1989-05-09,9999-01-01
11234,d004,1990-08-21,9999-01-01
11244,d009,1985-06-08,9999-01-01
11248,d007,1997-02-03,1999-07-19
11258,d009,1991-03-28,9999-01-01
11259,d007,1986-12-26,9999-01-01
11263,d004,1989-08-15,9999-01-01
11265,d009,1990-02-27,1996-03-20
11277,d005,2000-09-15,9999-01-01
11277,d008,1995-07-19,2000-09-15
11291,d005,1985-10-20,2001-04-15
11323,d005,1995-02-13,1997-05-20
11339,d004,1989-12-19,9999-01-01
11349,d004,1992-06-27,9999-01-01
11357,d001,1996-10-28,9999-01-01
11387,d004,1997-05-11,1997-12-13
11389,d001,1998-04-28,9999-01-01
11389,d007,1992-02-20,1998-04-28
11409,d004,1998-09-01,1999-08-04
11409,d009,1997-12-28,1998-09-01
11417,d006,1992-12-21,9999-01-01
11429,d007,1986-10-16,9999-01-01
11433,d005,1994-09-27,9999-01-01
11445,d005,1997-06-11,2001-02-23
11448,d005,1995-08-26,9999-01-01
11461,d004,1986-08-19,1997-07-20
11465,d005,1985-07-14,1996-05-26
11465,d008,1996-05-26,9999-01-01
11481,d003,1987-05-01,2000-01-10
11494,d004,1991-02-14,1996-12-17
11494,d009,1996-12-17,9999-01-01
11496,d004,1992-07-09,9999-01-01
11520,d001,1991-11-20,9999-01-01
11521,d007,1995-10-17,2000-06-08
11522,d001,1999-08-04,9999-01-01
11524,d005,1996-07-05,9999-01-01
11592,d005,1998-03-10,9999-01-01
11593,d006,1999-03-09,9999-01-01
11601,d007,1991-03-07,1993-05-29
11601,d009,1993-05-29,9999-01-01
11613,d005,1998-05-30,9999-01-01
11616,d004,1993-12-30,9999-01-01
11626,d004,1987-07-10,1993-07-01
11631,d008,1992-04-14,9999-01-01
11669,d004,1997-05-12,2001-06-12
11669,d009,2001-06-12,9999-01-01
11672,d007,1989-07-29,9999-01-01
11684,d001,1986-02-21,9999-01-01
11699,d004,1994-01-20,9999-01-01
11714,d009,1997-09-26,1997-12-17
11719,d005,1996-01-20,9999-01-01
11721,d005,1990-11-30,9999-01-01
11745,d008,1999-12-12,9999-01-01
11754,d008,1999-11-06,9999-01-01
11759,d004,1988-04-30,1996-12-01
11759,d006,1996-12-01,9999-01-01
11770,d005,1992-11-29,9999-01-01
11772,d005,1999-11-07,9999-01-01
11781,d007,1997-12-04,9999-01-01
11789,d008,1989-08-18,9999-01-01
11811,d007,1992-03-28,9999-01-01
11821,d004,1995-12-13,2001-10-26
11827,d008,1995-07-13,2000-07-18
11864,d009,1995-11-02,9999-01-01
11866,d006,1993-11-12,9999-01-01
11870,d004,1990-12-01,1999-02-13
11873,d001,1998-11-14,2000-07-06
11873,d007,2000-07-06,9999-01-01
11888,d001,1994-11-28,9999-01-01
11901,d001,1992-08-01,9999-01-01
11905,d003,1989-05-12,9999-01-01
11906,d005,1999-02-07,9999-01-01
11952,d004,1995-12-19,9999-01-01
11967,d002,1999-10-02,9999-01-01
11967,d003,1997-08-23,1999-10-02
11976,d004,1986-10-08,9999-01-01
11999,d004,1996-07-21,2002-03-16
12005,d004,1997-06-28,9999-01-01
12014,d006,1988-10-11,9999-01-01
12019,d008,1986-02-17,9999-01-01
12024,d003,1997-11-03,9999-01-01
12030,d003,1996-06-24,9999-01-01
12040,d001,1998-09-28,9999-01-01
12043,d008,2000-01-05,9999-01-01
12079,d008,1985-12-09,9999-01-01
12084,d005,1997-01-01,9999-01-01
12088,d002,1990-10-20,1995-05-08
12088,d003,1995-05-08,1996-06-14
12096,d002,1994-08-17,9999-01-01
12104,d004,1997-06-12,2002-02-08
12127,d001,1989-01-22,9999-01-01
12141,d002,1992-04-19,1999-10-29
12145,d009,1999-09-11,9999-01-01
12166,d006,1990-11-30,1993-04-14
12180,d005,1990-02-05,9999-01-01
12198,d005,1986-05-04,9999-01-01
12201,d004,1992-03-20,9999-01-01
12208,d005,2000-08-24,9999-01-01
12208,d008,1993-02-06,2000-08-24
12211,d003,1986-12-26,9999-01-01
12221,d005,1985-09-16,9999-01-01
12224,d007,1995-01-27,9999-01-01
12225,d007,1999-01-27,9999-01-01
12245,d004,1998-11-27,9999-01-01
12247,d005,1985-04-09,9999-01-01
12280,d005,1985-02-27,9999-01-01
12297,d007,1991-11-20,2002-06-15
12320,d005,1993-02-28,9999-01-01
12334,d004,1998-05-10,9999-01-01
12334,d005,1992-03-18,1998-05-10
12337,d005,1990-12-28,9999-01-01
12352,d005,1989-09-09,2002-06-28
12353,d005,1994-11-20,9999-01-01
12358,d007,1996-04-29,2000-09-18
12361,d005,1992-06-05,1992-10-04
12361,d008,1992-10-04,9999-01-01
12365,d004,1988-09-12,9999-01-01
12370,d006,1994-01-29,9999-01-01
12377,d008,1991-03-17,9999-01-01
12382,d001,1991-12-20,9999-01-01
12391,d004,1991-09-03,9999-01-01
12408,d005,1995-04-18,9999-01-01
12414,d007,1991-07-07,1999-06-20
12420,d004,1996-11-28,2000-06-30
12420,d009,2000-06-30,9999-01-01
12427,d008,1992-09-09,9999-01-01
12428,d004,1989-06-21,9999-01-01
12431,d004,1987-10-09,1992-03-01
12435,d007,1995-06-28,9999-01-01
12437,d005,1987-08-26,9999-01-01
12447,d005,1985-02-10,9999-01-01
12455,d005,1997-04-06,9999-01-01
12462,d001,1999-11-23,9999-01-01
12463,d005,1991-07-03,2001-02-05
12464,d007,1998-06-01,9999-01-01
12465,d002,1985-11-22,9999-01-01
12476,d005,1987-04-06,1997-04-16
12478,d001,1997-09-05,1998-12-11
12478,d007,1991-07-06,1997-09-05
12511,d004,1993-02-01,9999-01-01
12518,d005,1990-02-26,1996-08-09
12523,d007,1990-01-22,9999-01-01
12544,d004,1995-04-09,9999-01-01
12557,d004,1994-09-23,9999-01-01
12557,d006,1988-03-20,1994-09-23
12565,d007,1989-06-16,9999-01-01
12591,d007,1997-10-15,9999-01-01
12598,d002,1996-10-28,1998-06-27
12598,d007,1998-06-27,9999-01-01
12605,d007,1990-02-19,9999-01-01
12613,d005,1995-01-29,9999-01-01
12628,d002,1995-01-30,1999-11-12
12631,d004,1988-09-25,9999-01-01
12633,d004,1990-07-13,9999-01-01
12640,d007,1996-05-29,9999-01-01
12644,d004,1989-10-29,9999-01-01
12686,d003,1988-07-18,1997-03-06
12697,d003,1986-07-11,9999-01-01
12700,d006,1991-04-01,9999-01-01
12753,d004,1991-08-26,9999-01-01
12755,d003,1987-03-18,9999-01-01
12764,d005,1988-01-24,9999-01-01
12765,d004,1998-09-07,9999-01-01
12765,d005,1994-05-05,1998-09-07
12787,d004,1986-12-16,1999-02-09
12797,d005,1991-11-05,9999-01-01
12808,d005,1998-03-16,9999-01-01
12816,d004,1985-04-18,1999-09-08
12832,d002,1988-04-25,9999-01-01
12842,d005,1992-09-11,9999-01-01
12850,d001,1991-03-28,9999-01-01
12864,d004,1995-09-17,9999-01-01
12899,d003,1989-01-13,9999-01-01
12909,d007,1997-10-20,9999-01-01
12926,d008,1985-12-24,9999-01-01
12931,d007,1991-03-21,9999-01-01
12933,d008,1986-05-19,9999-01-01
12942,d004,1991-10-29,1995-08-17
12942,d006,1995-08-17,9999-01-01
12950,d009,1989-11-29,9999-01-01
12995,d004,1988-01-08,9999-01-01
13009,d005,1997-01-23,9999-01-01
13039,d005,1985-10-29,9999-01-01
13053,d003,1996-10-16,9999-01-01
13062,d005,1993-01-08,2000-05-31
13078,d001,1991-01-01,9999-01-01
13083,d007,1995-04-10,9999-01-01
13085,d005,1987-01-15,1998-08-07
13085,d008,1998-08-07,9999-01-01
13129,d001,1997-11-17,9999-01-01
13130,d004,1987-11-28,1989-01-10
13137,d004,1994-03-25,9999-01-01
13152,d004,1985-11-28,9999-01-01
13163,d006,1987-03-31,9999-01-01
13170,d002,1993-01-09,1998-09-21
13170,d003,1998-09-21,9999-01-01
13172,d007,1993-09-02,9999-01-01
13203,d009,1990-01-12,9999-01-01
13225,d001,1992-01-11,9999-01-01
13241,d007,1991-06-20,9999-01-01
13257,d002,1986-07-12,9999-01-01
13267,d005,1998-09-12,9999-01-01
13302,d005,1990-09-26,9999-01-01
13304,d001,1991-01-23,9999-01-01
13310,d005,1995-09-08,9999-01-01
13314,d003,1993-04-14,9999-01-01
13325,d005,1994-05-30,9999-01-01
13333,d004,1998-08-30,9999-01-01
13333,d005,1988-03-23,1998-08-30
13342,d005,1999-03-12,9999-01-01
13365,d004,2000-11-06,9999-01-01
13365,d006,1997-11-04,2000-11-06
13374,d005,1997-08-13,9999-01-01
13406,d005,1996-03-04,9999-01-01
13407,d004,1992-10-03,9999-01-01
13442,d003,1987-06-16,9999-01-01
13450,d004,1986-03-15,1999-05-06
13450,d009,1999-05-06,9999-01-01
13455,d004,1989-11-26,9999-01-01
13466,d007,1996-11-06,9999-01-01
13480,d004,1993-06-18,1995-03-16
13480,d006,1995-03-16,9999-01-01
13482,d006,1989-08-11,1992-07-05
13494,d004,1985-10-07,9999-01-01
13513,d007,1992-01-24,1999-04-19
13522,d001,1997-06-01,9999-01-01
13537,d005,1985-03-20,9999-01-01
13550,d005,1992-04-15,1998-02-25
13555,d007,1988-11-07,9999-01-01
13561,d004,1985-07-05,9999-01-01
13599,d007,1992-11-12,9999-01-01
13619,d004,1992-10-12,9999-01-01
13642,d001,1992-03-04,9999-01-01
13650,d007,1996-11-19,9999-01-01
13659,d002,1992-03-07,2000-07-10
13668,d001,1991-12-11,1992-09-09
13669,d004,1998-11-05,9999-01-01
13674,d004,1995-01-05,9999-01-01
13681,d004,1998-05-29,9999-01-01
13681,d005,1989-08-03,1998-05-29
13682,d001,2000-01-09,9999-01-01
13708,d005,1991-05-10,2001-10-14
13708,d008,2001-10-14,9999-01-01
13720,d007,1989-03-01,9999-01-01
13722,d004,1999-12-15,2001-03-15
13723,d007,1992-09-13,9999-01-01
13764,d007,1994-05-01,9999-01-01
13774,d005,1996-10-04,9999-01-01
13774,d008,1991-04-11,1996-10-04
13798,d004,1991-02-17,9999-01-01
13804,d001,1995-01-31,9999-01-01
13812,d001,1998-04-22,9999-01-01
13812,d007,1996-09-11,1998-04-22
13814,d002,1985-05-31,1990-11-12
13843,d004,1996-02-28,9999-01-01
13849,d005,1989-04-24,9999-01-01
13856,d007,1995-04-26,9999-01-01
13857,d004,1990-11-09,9999-01-01
13863,d007,1990-03-23,9999-01-01
13866,d007,1999-12-25,9999-01-01
13903,d004,1997-03-24,9999-01-01
13913,d004,1997-12-18,9999-01-01
13925,d004,1999-05-08,9999-01-01
13936,d003,1994-06-03,9999-01-01
13941,d007,1999-06-01,9999-01-01
13953,d005,1997-04-08,9999-01-01
13960,d002,1996-04-06,9999-01-01
13968,d005,1993-09-07,9999-01-01
13974,d009,1998-03-18,2001-04-26
13982,d001,1986-05-31,9999-01-01
13983,d007,2000-01-12,9999-01-01
14003,d004,1999-04-13,9999-01-01
14021,d004,1988-01-07,9999-01-01
14027,d005,1996-01-14,9999-01-01
14036,d007,1987-10-07,9999-01-01
14053,d005,1996-05-13,9999-01-01
14053,d008,1989-05-26,1996-05-13
14062,d004,2000-11-13,9999-01-01
14062,d006,1987-10-17,2000-11-13
14066,d007,1996-10-29,9999-01-01
14069,d004,1996-04-27,9999-01-01
14074,d006,1997-11-26,9999-01-01
14076,d005,1996-01-31,2002-06-15
14078,d005,1987-11-01,9999-01-01
14087,d004,1997-11-21,9999-01-01
14096,d001,1993-11-12,9999-01-01
14108,d001,1996-06-21,2000-06-21
14108,d007,1994-02-10,1996-06-21
14170,d001,1998-09-13,1999-04-22
14170,d009,1999-04-22,2001-04-16
14179,d007,1993-09-18,2002-05-06
14179,d009,2002-05-06,9999-01-01
14195,d005,1998-12-08,2001-10-08
14198,d004,1990-12-02,9999-01-01
14203,d004,1988-03-06,9999-01-01
14207,d009,1993-08-05,9999-01-01
14209,d008,1988-04-06,9999-01-01
14210,d001,1993-06-10,9999-01-01
14216,d005,1998-03-11,9999-01-01
14217,d002,1997-07-28,9999-01-01
14217,d003,1993-04-02,1997-07-28
14220,d004,1987-12-02,9999-01-01
14261,d004,1993-09-25,9999-01-01
14265,d005,1986-01-06,1998-06-30
14290,d004,1992-03-29,9999-01-01
14305,d004,1994-06-15,9999-01-01
14325,d007,1999-07-29,9999-01-01
14347,d005,1995-07-12,9999-01-01
14363,d006,1985-06-27,9999-01-01
14410,d004,1990-02-22,1992-03-07
14410,d009,1992-03-07,9999-01-01
14436,d004,1993-07-13,9999-01-01
14450,d005,1985-04-26,1996-12-30
14461,d007,1986-04-20,9999-01-01
14466,d005,1995-04-15,1996-03-14
14466,d008,1996-03-14,2000-02-19
14467,d004,1995-02-11,9999-01-01
14476,d004,1999-09-25,9999-01-01
14485,d004,1996-01-13,9999-01-01
14491,d005,1997-08-27,1997-12-28
14494,d004,1993-07-08,9999-01-01
14494,d006,1990-08-11,1993-07-08
14498,d003,1988-10-17,9999-01-01
14529,d002,1995-05-01,9999-01-01
14551,d007,1993-06-27,1993-09-16
14573,d005,1989-04-17,2001-03-30
14579,d004,1998-05-19,9999-01-01
14586,d004,1989-07-18,9999-01-01
14590,d002,1985-05-14,1995-12-28
14607,d007,1994-06-26,9999-01-01
14618,d007,1989-12-26,9999-01-01
14629,d004,1988-11-04,2002-06-26
14647,d003,1991-12-07,9999-01-01
14657,d007,1998-09-28,9999-01-01
14659,d006,1985-03-16,9999-01-01
14660,d001,1995-07-21,9999-01-01
14661,d004,1987-04-22,9999-01-01
14672,d005,1995-05-21,9999-01-01
14672,d009,1988-07-23,1995-05-21
14681,d005,1999-12-22,9999-01-01
14695,d009,1989-02-25,1996-09-23
14700,d003,1992-02-28,1998-08-31
14706,d007,1986-06-07,9999-01-01
14708,d005,1989-11-15,1991-05-20
14711,d004,1998-03-05,9999-01-01
14711,d009,1998-01-01,1998-03-05
14717,d009,1997-03-12,9999-01-01
14724,d002,1986-09-10,9999-01-01
14741,d004,1993-02-28,9999-01-01
14773,d004,1992-12-28,9999-01-01
14778,d007,1995-04-16,1996-01-08
14780,d004,1986-09-19,9999-01-01
14783,d007,1987-08-26,9999-01-01
14804,d002,1990-06-11,9999-01-01
14808,d005,1987-03-07,9999-01-01
14814,d009,1987-10-27,9999-01-01
14815,d005,1999-05-07,9999-01-01
14823,d004,1991-07-05,9999-01-01
14864,d007,1988-02-15,9999-01-01
14868,d003,1990-07-03,9999-01-01
14877,d005,1988-06-06,9999-01-01
14878,d004,1999-05-19,9999-01-01
14895,d003,1989-06-25,9999-01-01
14903,d007,1992-09-27,9999-01-01
14908,d004,2001-11-12,9999-01-01
14908,d005,1992-09-17,2001-11-12
14955,d005,1985-02-03,1994-11-22
14957,d007,2000-01-18,2001-12-18
14999,d002,1996-08-17,1998-02-09
14999,d003,1998-02-09,9999-01-01
15008,d003,1990-06-04,9999-01-01
15018,d001,1993-03-11,9999-01-01
15022,d004,1996-09-27,9999-01-01
15030,d007,1999-04-11,9999-01-01
15034,d004,1986-01-08,9999-01-01
15057,d005,1993-04-26,1995-11-13
15057,d008,1995-11-13,9999-01-01
15072,d004,1993-02-05,9999-01-01
15085,d005,1990-11-15,9999-01-01
15093,d005,1998-03-12,2000-06-30
15097,d007,1996-03-19,9999-01-01
15098,d005,1985-10-05,9999-01-01
15118,d004,1994-09-02,9999-01-01
15131,d001,1993-03-04,9999-01-01
15134,d007,1992-07-23,9999-01-01
15139,d007,1998-02-03,9999-01-01
15146,d004,1996-07-14,9999-01-01
15150,d005,1996-03-21,9999-01-01
15157,d001,1986-03-05,9999-01-01
15164,d005,1995-12-02,9999-01-01
15188,d007,1987-01-06,9999-01-01
15201,d006,1993-09-02,9999-01-01
15204,d006,1997-01-05,9999-01-01
15208,d008,1987-04-18,9999-01-01
15212,d005,1998-07-03,1999-02-19
15212,d008,1999-02-19,2000-04-04
15220,d004,1995-07-23,9999-01-01
15235,d008,1990-10-16,9999-01-01
15251,d003,1994-05-27,9999-01-01
15274,d005,1993-01-30,1996-05-05
15278,d009,1987-10-29,1994-11-10
15279,d001,1998-07-09,9999-01-01
15283,d004,1998-03-12,9999-01-01
15288,d002,1991-11-07,9999-01-01
15295,d004,1988-04-25,1995-11-09
15303,d005,1999-02-26,9999-01-01
15307,d007,1998-07-31,9999-01-01
15320,d008,1993-03-26,1995-01-14
15353,d005,1996-07-05,9999-01-01
15358,d004,1999-10-21,9999-01-01
15359,d007,1985-10-19,1988-09-16
15364,d007,1999-05-06,9999-01-01
15377,d005,1986-12-19,9999-01-01
15379,d004,1994-09-04,9999-01-01
15399,d004,1985-05-01,9999-01-01
15420,d005,1997-08-09,9999-01-01
15420,d009,1990-04-17,1997-08-09
15425,d005,1997-10-26,9999-01-01
15437,d004,1991-04-18,9999-01-01
15461,d003,1993-08-18,9999-01-01
15465,d004,1992-07-03,1992-08-08
15465,d009,1992-08-08,9999-01-01
15472,d005,1996-04-30,9999-01-01
15488,d004,1993-04-04,1995-03-25
15521,d007,1985-11-16,9999-01-01
15533,d007,1989-05-21,9999-01-01
15538,d005,1988-02-05,9999-01-01
15547,d005,1987-02-03,9999-01-01
15560,d005,1991-01-30,2001-02-17
15576,d009,1992-07-16,9999-01-01
15578,d002,1996-07-14,1998-09-27
15579,d004,1999-01-19,1999-11-10
15579,d006,1999-11-10,9999-01-01
15583,d007,1992-05-04,9999-01-01
15586,d006,1998-08-28,9999-01-01
15590,d007,1986-09-26,1999-01-07
15647,d005,1996-04-22,1998-01-12
15660,d005,1996-12-27,9999-01-01
15686,d004,1995-10-19,9999-01-01
15687,d002,1990-02-13,9999-01-01
15702,d007,1997-07-25,1999-09-27
15706,d002,1999-06-04,9999-01-01
15708,d007,1990-01-22,9999-01-01
15709,d007,1985-03-11,9999-01-01
15718,d007,1999-12-02,9999-01-01
15719,d004,1990-05-28,1998-07-31
15738,d004,1987-07-14,9999-01-01
15755,d005,1988-08-06,9999-01-01
15780,d004,1990-03-05,9999-01-01
15780,d005,1987-04-02,1990-03-05
15819,d001,1999-07-14,9999-01-01
15819,d007,1993-08-16,1999-07-14
15831,d005,1986-03-20,9999-01-01
15835,d005,1996-02-21,2001-07-22
15849,d004,1996-01-22,9999-01-01
15854,d005,1992-06-07,1996-09-25
15865,d004,1991-01-30,9999-01-01
15876,d005,1985-08-02,9999-01-01
15907,d009,1996-06-15,9999-01-01
15919,d005,1990-05-30,1992-12-23
15928,d005,1986-01-05,9999-01-01
15932,d001,2002-01-15,9999-01-01
15932,d007,1998-12-11,2002-01-15
15934,d004,1995-08-20,9999-01-01
15936,d001,1996-09-01,9999-01-01
15942,d004,1986-09-09,9999-01-01
15947,d004,1988-11-24,9999-01-01
15959,d008,1996-01-27,9999-01-01
15962,d008,1996-03-11,9999-01-01
15970,d005,1995-07-13,1998-10-14
15970,d006,1994-06-15,1995-07-13
15985,d002,1996-12-14,9999-01-01
16005,d007,1990-12-19,9999-01-01
16015,d004,1991-09-28,9999-01-01
16019,d005,1985-08-01,1986-10-12
16019,d008,1986-10-12,9999-01-01
16036,d007,1996-08-20,1999-08-16
16041,d004,1998-11-21,9999-01-01
16049,d007,1992-05-31,9999-01-01
16083,d002,1997-10-19,9999-01-01
16084,d005,1985-04-11,1992-12-04
16085,d004,1996-02-26,9999-01-01
16114,d004,1998-04-25,9999-01-01
16119,d004,1999-08-05,9999-01-01
16125,d005,1989-11-12,9999-01-01
16133,d004,1992-12-18,9999-01-01
16147,d008,1998-06-10,9999-01-01
16168,d004,1986-10-15,9999-01-01
16174,d005,1999-02-01,9999-01-01
16189,d005,1988-07-27,9999-01-01
16222,d005,1995-08-29,1996-03-04
16222,d008,1996-03-04,1997-01-11
16224,d007,1996-08-04,9999-01-01
16229,d009,1996-09-17,9999-01-01
16231,d002,1986-01-09,9999-01-01
16242,d004,1990-12-18,1993-05-13
16244,d005,2000-01-04,9999-01-01
16248,d004,1988-12-16,9999-01-01
16256,d007,1988-05-02,9999-01-01
16270,d009,1992-07-04,9999-01-01
16276,d005,1999-10-01,9999-01-01
16277,d004,1998-03-05,1999-12-02
16284,d007,1994-11-14,9999-01-01
16345,d005,1997-06-29,2001-11-06
16379,d004,1985-10-08,1992-06-10
16379,d006,1992-06-10,9999-01-01
16384,d006,1996-12-27,9999-01-01
16392,d003,1998-10-28,9999-01-01
16427,d004,1991-07-19,9999-01-01
16438,d004,1991-04-09,9999-01-01
16448,d005,1992-04-25,9999-01-01
16463,d008,2000-01-14,2002-02-03
16470,d005,1985-10-15,9999-01-01
16483,d004,1986-01-01,1999-06-20
16493,d001,1986-08-20,1995-02-15
16493,d009,1995-02-15,9999-01-01
16529,d001,1992-05-17,1994-05-03
16537,d005,1991-08-03,9999-01-01
16540,d007,1989-02-01,1996-10-22
16540,d009,1996-10-22,9999-01-01
16547,d004,2000-01-06,2000-09-01
16570,d004,1994-03-25,9999-01-01
16578,d004,1990-12-30,1991-09-30
16578,d009,1991-09-30,1992-01-20
16617,d006,1993-10-02,9999-01-01
16618,d007,1987-05-17,9999-01-01
16643,d003,1994-06-24,9999-01-01
16646,d005,1995-08-19,9999-01-01
16649,d004,1992-11-27,9999-01-01
16649,d006,1988-10-21,1992-11-27
16659,d001,1987-10-21,1990-12-29
16659,d007,1987-09-18,1987-10-21
16663,d005,2000-01-07,9999-01-01
16667,d007,1994-01-16,1998-06-25
16679,d005,1994-07-17,2001-02-10
16679,d008,2001-02-10,9999-01-01
16694,d008,1989-11-27,9999-01-01
16697,d005,1990-04-29,9999-01-01
16702,d001,1991-04-09,9999-01-01
16715,d007,1999-12-08,9999-01-01
16720,d003,1991-08-17,1993-08-19
16742,d002,1994-02-28,9999-01-01
16760,d001,1999-12-18,9999-01-01
16773,d009,1998-02-26,9999-01-01
16774,d007,1987-07-02,9999-01-01
16785,d003,1998-02-18,9999-01-01
16795,d004,1992-12-16,1993-10-22
16795,d006,1993-10-22,9999-01-01
16802,d001,1985-07-03,9999-01-01
16807,d009,1996-12-30,9999-01-01
16809,d004,1996-01-23,1996-03-27
16833,d005,1987-01-26,1996-05-25
16838,d007,1996-05-23,9999-01-01
16843,d004,1999-12-22,9999-01-01
16849,d004,1985-08-13,9999-01-01
16860,d005,1991-05-09,9999-01-01
16865,d009,1986-01-08,9999-01-01
16874,d001,1991-05-20,2000-08-02
16920,d004,1985-07-17,1998-08-11
16920,d006,1998-08-11,9999-01-01
16945,d005,1986-02-14,9999-01-01
16951,d005,1987-03-23,9999-01-01
16976,d005,1990-06-29,9999-01-01
16990,d001,1987-08-21,1999-06-20
17002,d005,1990-09-08,9999-01-01
17018,d005,1986-02-20,9999-01-01
17035,d007,1996-06-05,9999-01-01
17044,d004,1991-06-03,9999-01-01
17050,d005,1996-08-27,2001-08-19
17050,d008,2001-08-19,9999-01-01
17076,d004,1987-01-04,1990-05-16
17076,d006,1990-05-16,9999-01-01
