emp_no,title,from_date,to_date
10398,Senior Staff,1990-10-12,9999-01-01
10406,Engineer,1996-01-26,9999-01-01
10415,Senior Engineer,1993-10-25,9999-01-01
10441,Engineer,1988-07-12,1993-07-12
10441,Senior Engineer,1993-07-12,9999-01-01
10449,Senior Staff,1994-03-28,9999-01-01
10449,Staff,1987-03-28,1994-03-28
10459,Staff,1997-06-28,9999-01-01
10485,Engineer,1996-01-21,9999-01-01
10492,Engineer,1988-04-29,1997-04-29
10492,Senior Engineer,1997-04-29,9999-01-01
10500,Engineer,1996-12-16,9999-01-01
10510,Senior Staff,1997-04-20,9999-01-01
10510,Staff,1990-04-20,1997-04-20
10512,Senior Staff,1998-11-28,9999-01-01
10512,Staff,1989-11-28,1998-11-28
10517,Senior Staff,1990-12-25,9999-01-01
10526,Engineer,1988-02-27,1997-02-26
10526,Senior Engineer,1997-02-26,9999-01-01
10528,Senior Engineer,1993-10-28,9999-01-01
10535,Senior Staff,1996-08-21,9999-01-01
10535,Staff,1991-08-22,1996-08-21
10538,Senior Engineer,1987-07-23,1998-12-13
10541,Staff,1986-02-28,1986-10-01
10549,Engineer,1996-10-11,2001-10-11
10549,Senior Engineer,2001-10-11,9999-01-01
10562,Engineer,1997-07-24,2002-07-24
10562,Senior Engineer,2002-07-24,9999-01-01
10563,Engineer,1992-09-29,1999-09-30
10563,Senior Engineer,1999-09-30,2002-01-01
10568,Staff,1995-07-08,9999-01-01
10578,Senior Engineer,1989-11-24,9999-01-01
10594,Engineer,1988-04-02,1996-04-02
10594,Senior Engineer,1996-04-02,9999-01-01
10595,Senior Engineer,1989-11-24,9999-01-01
10619,Senior Staff,1993-04-09,9999-01-01
10633,Staff,1997-05-16,9999-01-01
10640,Senior Staff,1992-12-04,9999-01-01
10645,Engineer,1988-03-01,1995-03-02
10645,Senior Engineer,1995-03-02,9999-01-01
10649,Senior Staff,1998-06-23,9999-01-01
10653,Senior Engineer,1987-04-30,9999-01-01
10660,Senior Engineer,1988-08-12,1991-07-12
10664,Engineer,1989-12-24,1998-12-24
10664,Senior Engineer,1998-12-24,9999-01-01
10668,Staff,1997-11-28,1999-09-03
10672,Senior Engineer,1991-09-29,1996-04-19
10704,Senior Staff,2001-02-16,9999-01-01
10704,Staff,1995-02-17,2001-02-16
10711,Engineer,1991-06-21,1996-06-20
10711,Senior Engineer,1996-06-20,9999-01-01
10722,Senior Staff,1994-01-17,2000-04-14
10722,Staff,1989-01-17,1994-01-17
10743,Staff,1999-11-05,9999-01-01
10749,Engineer,1985-09-26,1990-09-26
10749,Senior Engineer,1990-09-26,9999-01-01
10753,Engineer,1985-05-17,1993-05-17
10753,Senior Engineer,1993-05-17,1999-08-25
10760,Senior Staff,1997-08-22,9999-01-01
10773,Staff,1997-02-09,1997-11-29
10797,Assistant Engineer,1988-08-21,1997-08-21
10797,Engineer,1997-08-21,9999-01-01
10799,Engineer,1989-03-01,1995-03-01
10799,Senior Engineer,1995-03-01,9999-01-01
10802,Engineer,1985-08-24,1990-08-24
10802,Senior Engineer,1990-08-24,9999-01-01
10812,Engineer,1996-09-20,1997-10-06
10841,Senior Staff,1997-01-21,9999-01-01
10841,Staff,1992-01-22,1997-01-21
10843,Engineer,1990-04-26,1998-04-26
10843,Senior Engineer,1998-04-26,9999-01-01
10866,Senior Staff,1995-12-27,9999-01-01
10866,Staff,1990-12-27,1995-12-27
10881,Engineer,1997-02-18,1998-10-25
10899,Senior Staff,1999-04-05,9999-01-01
10899,Staff,1990-04-05,1999-04-05
10900,Senior Engineer,1995-09-07,9999-01-01
10904,Engineer,1993-04-16,1999-04-16
10904,Senior Engineer,1999-04-16,9999-01-01
10921,Engineer,1986-07-27,1995-07-27
10921,Senior Engineer,1995-07-27,9999-01-01
10923,Senior Staff,1990-04-09,9999-01-01
10925,Technique Leader,1991-06-11,9999-01-01
10929,Senior Staff,1998-04-15,9999-01-01
10929,Staff,1991-04-15,1998-04-15
10930,Engineer,1991-11-22,1998-11-22
10930,Senior Engineer,1998-11-22,9999-01-01
10939,Assistant Engineer,1997-12-11,9999-01-01
10944,Senior Engineer,1995-09-07,9999-01-01
10951,Senior Staff,1994-07-06,9999-01-01
10951,Staff,1989-07-06,1994-07-06
10957,Senior Staff,1990-10-01,9999-01-01
10967,Engineer,1993-08-01,1998-08-01
10967,Senior Engineer,1998-08-01,9999-01-01
10972,Engineer,1987-06-06,1996-06-05
10972,Senior Engineer,1996-06-05,9999-01-01
10987,Engineer,1997-05-21,9999-01-01
10993,Engineer,1992-05-29,2000-05-29
10993,Senior Engineer,2000-05-29,9999-01-01
11019,Engineer,1992-05-24,1997-05-24
11019,Senior Engineer,1997-05-24,9999-01-01
11027,Assistant Engineer,1986-05-07,1991-05-07
11027,Engineer,1991-05-07,1996-05-06
11027,Senior Engineer,1996-05-06,9999-01-01
11032,Staff,1994-06-06,9999-01-01
11034,Senior Staff,2002-01-01,9999-01-01
11034,Staff,1993-01-01,2002-01-01
11055,Staff,1998-03-08,9999-01-01
11062,Engineer,1990-10-18,1999-10-18
11062,Senior Engineer,1999-10-18,9999-01-01
11079,Engineer,1994-05-26,2001-05-26
11079,Senior Engineer,2001-05-26,9999-01-01
11089,Senior Staff,1994-08-13,9999-01-01
11103,Engineer,1989-03-15,1994-03-15
11103,Senior Engineer,1994-03-15,9999-01-01
11117,Engineer,1994-08-22,9999-01-01
11119,Engineer,1994-06-21,1995-10-23
11133,Technique Leader,1994-03-06,9999-01-01
11161,Engineer,1988-05-31,1993-05-31
11161,Senior Engineer,1993-05-31,9999-01-01
11167,Senior Engineer,1990-01-10,9999-01-01
11175,Engineer,1996-11-29,9999-01-01
11186,Engineer,1994-12-10,2000-12-09
11186,Senior Engineer,2000-12-09,9999-01-01
11209,Engineer,1999-04-25,9999-01-01
11216,Technique Leader,1999-05-03,9999-01-01
11218,Technique Leader,1994-04-06,2002-04-19
11226,Senior Staff,1998-05-09,9999-01-01
11226,Staff,1989-05-09,1998-05-09
11234,Senior Engineer,1990-08-21,9999-01-01
11244,Senior Staff,1990-06-08,9999-01-01
11244,Staff,1985-06-08,1990-06-08
11248,Staff,1997-02-03,1999-07-19
11258,Senior Staff,1998-03-28,9999-01-01
11258,Staff,1991-03-28,1998-03-28
11259,Senior Staff,1986-12-26,9999-01-01
11263,Engineer,1989-08-15,1998-08-15
11263,Senior Engineer,1998-08-15,9999-01-01
11265,Senior Staff,1990-02-27,1996-03-20
11277,Senior Staff,1995-07-19,9999-01-01
11291,Senior Engineer,1985-10-20,2001-04-15
11323,Engineer,1995-02-13,1997-05-20
11339,Senior Engineer,1989-12-19,9999-01-01
11349,Assistant Engineer,1992-06-27,1999-06-28
11349,Engineer,1999-06-28,9999-01-01
11357,Senior Staff,1996-10-28,9999-01-01
11387,Engineer,1997-05-11,1997-12-13
11389,Senior Staff,2000-02-20,9999-01-01
11389,Staff,1992-02-20,2000-02-20
11409,Staff,1997-12-28,1999-08-04
11417,Technique Leader,1992-12-21,9999-01-01
11429,Senior Staff,1994-10-16,9999-01-01
11429,Staff,1986-10-16,1994-10-16
11433,Engineer,1994-09-27,9999-01-01
11445,Senior Engineer,1997-06-11,2001-02-23
11448,Technique Leader,1995-08-26,9999-01-01
11461,Engineer,1986-08-19,1992-08-18
11461,Senior Engineer,1992-08-18,1997-07-20
11465,Engineer,1985-07-14,1993-07-14
11465,Senior Engineer,1993-07-14,9999-01-01
11481,Senior Staff,1994-05-01,2000-01-10
11481,Staff,1987-05-01,1994-05-01
11494,Assistant Engineer,1991-02-14,1999-02-14
11494,Engineer,1999-02-14,9999-01-01
11496,Assistant Engineer,1992-07-09,1999-07-10
11496,Engineer,1999-07-10,9999-01-01
11520,Senior Staff,1999-11-20,9999-01-01
11520,Staff,1991-11-20,1999-11-20
11521,Staff,1995-10-17,2000-06-08
11522,Senior Staff,1999-08-04,9999-01-01
11524,Senior Engineer,1996-07-05,9999-01-01
11592,Engineer,1998-03-10,9999-01-01
11593,Engineer,1999-03-09,9999-01-01
11601,Senior Staff,1997-03-06,9999-01-01
11601,Staff,1991-03-07,1997-03-06
11613,Engineer,1998-05-30,9999-01-01
11616,Assistant Engineer,1993-12-30,1998-12-30
11616,Engineer,1998-12-30,9999-01-01
11626,Engineer,1987-07-10,1993-07-01
11631,Senior Staff,1999-04-15,9999-01-01
11631,Staff,1992-04-14,1999-04-15
11669,Engineer,1997-05-12,2002-05-12
11669,Senior Engineer,2002-05-12,9999-01-01
11672,Senior Staff,1989-07-29,9999-01-01
11684,Senior Staff,1995-02-21,9999-01-01
11684,Staff,1986-02-21,1995-02-21
11699,Technique Leader,1994-01-20,9999-01-01
11714,Staff,1997-09-26,1997-12-17
11719,Engineer,1996-01-20,9999-01-01
11721,Senior Engineer,1990-11-30,9999-01-01
11745,Staff,1999-12-12,9999-01-01
11754,Staff,1999-11-06,9999-01-01
11759,Assistant Engineer,1988-04-30,1997-04-30
11759,Engineer,1997-04-30,9999-01-01
11770,Engineer,1992-11-29,2000-11-29
11770,Senior Engineer,2000-11-29,9999-01-01
11772,Engineer,1999-11-07,9999-01-01
11781,Staff,1997-12-04,9999-01-01
11789,Senior Staff,1996-08-18,9999-01-01
11789,Staff,1989-08-18,1996-08-18
11811,Senior Staff,1998-03-28,9999-01-01
11811,Staff,1992-03-28,1998-03-28
11821,Senior Engineer,1995-12-13,2001-10-26
11827,Staff,1995-07-13,2000-07-18
11864,Staff,1995-11-02,9999-01-01
11866,Assistant Engineer,1993-11-12,2000-11-12
11866,Engineer,2000-11-12,9999-01-01
11870,Engineer,1990-12-01,1998-12-01
11870,Senior Engineer,1998-12-01,1999-02-13
11873,Staff,1998-11-14,9999-01-01
11888,Senior Staff,1999-11-28,9999-01-01
11888,Staff,1994-11-28,1999-11-28
11901,Senior Staff,1998-08-01,9999-01-01
11901,Staff,1992-08-01,1998-08-01
11905,Senior Staff,1998-05-12,9999-01-01
11905,Staff,1989-05-12,1998-05-12
11906,Engineer,1999-02-07,9999-01-01
11952,Engineer,1995-12-19,9999-01-01
11967,Senior Staff,1997-08-23,9999-01-01
11976,Engineer,1986-10-08,1991-10-08
11976,Senior Engineer,1991-10-08,9999-01-01
11999,Engineer,1996-07-21,2001-07-21
11999,Senior Engineer,2001-07-21,2002-03-16
12005,Engineer,1997-06-28,9999-01-01
12014,Engineer,1988-10-11,1997-10-11
12014,Senior Engineer,1997-10-11,9999-01-01
12019,Senior Staff,1991-02-17,9999-01-01
12019,Staff,1986-02-17,1991-02-17
12024,Staff,1997-11-03,9999-01-01
12030,Staff,1996-06-24,9999-01-01
12040,Senior Staff,1998-09-28,9999-01-01
12043,Staff,2000-01-05,9999-01-01
12079,Senior Staff,1994-12-09,9999-01-01
12079,Staff,1985-12-09,1994-12-09
12084,Engineer,1997-01-01,2002-01-01
12084,Senior Engineer,2002-01-01,9999-01-01
12088,Staff,1990-10-20,1996-06-14
12096,Senior Staff,1994-08-17,9999-01-01
12104,Senior Engineer,1997-06-12,2002-02-08
12127,Senior Staff,1994-01-22,9999-01-01
12127,Staff,1989-01-22,1994-01-22
12141,Staff,1992-04-19,1999-10-29
12145,Staff,1999-09-11,9999-01-01
12166,Engineer,1990-11-30,1993-04-14
12180,Senior Engineer,1990-02-05,9999-01-01
12198,Engineer,1986-05-04,1993-05-04
12198,Senior Engineer,1993-05-04,9999-01-01
12201,Engineer,1992-03-20,2001-03-20
12201,Senior Engineer,2001-03-20,9999-01-01
12208,Senior Staff,1993-02-06,9999-01-01
12211,Senior Staff,1986-12-26,9999-01-01
12221,Engineer,1985-09-16,1991-09-16
12221,Senior Engineer,1991-09-16,9999-01-01
12224,Staff,1995-01-27,9999-01-01
12225,Staff,1999-01-27,9999-01-01
12245,Engineer,1998-11-27,9999-01-01
12247,Technique Leader,1985-04-09,9999-01-01
12280,Senior Engineer,1985-02-27,9999-01-01
12297,Senior Staff,1996-11-19,2002-06-15
12297,Staff,1991-11-20,1996-11-19
12320,Engineer,1993-02-28,2002-02-28
12320,Senior Engineer,2002-02-28,9999-01-01
12334,Engineer,1992-03-18,1997-03-18
12334,Senior Engineer,1997-03-18,9999-01-01
12337,Engineer,1990-12-28,1996-12-27
12337,Senior Engineer,1996-12-27,9999-01-01
12352,Technique Leader,1989-09-09,2002-06-28
12353,Engineer,1994-11-20,9999-01-01
12358,Staff,1996-04-29,2000-09-18
12361,Engineer,1992-06-05,2001-06-05
12361,Senior Engineer,2001-06-05,9999-01-01
12365,Engineer,1988-09-12,1994-09-12
12365,Senior Engineer,1994-09-12,9999-01-01
12370,Technique Leader,1994-01-29,9999-01-01
12377,Senior Staff,1998-03-17,9999-01-01
12377,Staff,1991-03-17,1998-03-17
12382,Senior Staff,1991-12-20,9999-01-01
12391,Engineer,1991-09-03,1996-09-02
12391,Senior Engineer,1996-09-02,9999-01-01
12408,Senior Engineer,1995-04-18,9999-01-01
12414,Staff,1991-07-07,1999-06-20
12420,Engineer,1996-11-28,9999-01-01
12427,Senior Staff,2000-09-09,9999-01-01
12427,Staff,1992-09-09,2000-09-09
12428,Engineer,1989-06-21,1994-06-21
12428,Senior Engineer,1994-06-21,9999-01-01
12431,Engineer,1987-10-09,1992-03-01
12435,Staff,1995-06-28,9999-01-01
12437,Engineer,1987-08-26,1994-08-26
12437,Senior Engineer,1994-08-26,9999-01-01
12447,Engineer,1985-02-10,1994-02-10
12447,Senior Engineer,1994-02-10,9999-01-01
12455,Engineer,1997-04-06,9999-01-01
12462,Staff,1999-11-23,9999-01-01
12463,Technique Leader,1991-07-03,2001-02-05
12464,Staff,1998-06-01,9999-01-01
12465,Senior Staff,1985-11-22,9999-01-01
12476,Engineer,1987-04-06,1994-04-06
12476,Senior Engineer,1994-04-06,1997-04-16
12478,Senior Staff,1997-07-05,1998-12-11
12478,Staff,1991-07-06,1997-07-05
12511,Assistant Engineer,1993-02-01,1999-02-01
12511,Engineer,1999-02-01,9999-01-01
12518,Engineer,1990-02-26,1996-08-09
12523,Senior Staff,1990-01-22,9999-01-01
12544,Engineer,1995-04-09,2002-04-09
12544,Senior Engineer,2002-04-09,9999-01-01
12557,Senior Engineer,1988-03-20,9999-01-01
12565,Senior Staff,1996-06-16,9999-01-01
12565,Staff,1989-06-16,1996-06-16
12591,Staff,1997-10-15,9999-01-01
12598,Senior Staff,2001-10-28,9999-01-01
12598,Staff,1996-10-28,2001-10-28
12605,Senior Staff,1990-02-19,9999-01-01
12613,Technique Leader,1995-01-29,9999-01-01
12628,Staff,1995-01-30,1999-11-12
12631,Engineer,1988-09-25,1996-09-25
12631,Senior Engineer,1996-09-25,9999-01-01
12633,Assistant Engineer,1990-07-13,1996-07-12
12633,Engineer,1996-07-12,2002-07-12
12633,Senior Engineer,2002-07-12,9999-01-01
12640,Senior Staff,2002-05-29,9999-01-01
12640,Staff,1996-05-29,2002-05-29
12644,Engineer,1989-10-29,1994-10-29
12644,Senior Engineer,1994-10-29,9999-01-01
12686,Senior Staff,1993-07-18,1997-03-06
12686,Staff,1988-07-18,1993-07-18
12697,Senior Staff,1994-07-11,9999-01-01
12697,Staff,1986-07-11,1994-07-11
12700,Engineer,1991-04-01,1999-04-01
12700,Senior Engineer,1999-04-01,9999-01-01
12753,Engineer,1991-08-26,1999-08-26
12753,Senior Engineer,1999-08-26,9999-01-01
12755,Senior Staff,1994-03-18,9999-01-01
12755,Staff,1987-03-18,1994-03-18
12764,Engineer,1988-01-24,1995-01-24
12764,Senior Engineer,1995-01-24,9999-01-01
12765,Engineer,1994-05-05,9999-01-01
12787,Engineer,1986-12-16,1993-12-16
12787,Senior Engineer,1993-12-16,1999-02-09
12797,Senior Engineer,1991-11-05,9999-01-01
12808,Engineer,1998-03-16,9999-01-01
12816,Engineer,1985-04-18,1992-04-18
12816,Senior Engineer,1992-04-18,1999-09-08
12832,Senior Staff,1993-04-25,9999-01-01
12832,Staff,1988-04-25,1993-04-25
12842,Engineer,1992-09-11,2000-09-11
12842,Senior Engineer,2000-09-11,9999-01-01
12850,Senior Staff,1996-03-27,9999-01-01
12850,Staff,1991-03-28,1996-03-27
12864,Technique Leader,1995-09-17,9999-01-01
12899,Senior Staff,1998-01-13,9999-01-01
12899,Staff,1989-01-13,1998-01-13
12909,Staff,1997-10-20,9999-01-01
12926,Senior Staff,1992-12-24,9999-01-01
12926,Staff,1985-12-24,1992-12-24
12931,Senior Staff,1997-03-20,9999-01-01
12931,Staff,1991-03-21,1997-03-20
12933,Senior Staff,1986-05-19,9999-01-01
12942,Engineer,1991-10-29,1997-10-28
12942,Senior Engineer,1997-10-28,9999-01-01
12950,Senior Staff,1997-11-29,9999-01-01
12950,Staff,1989-11-29,1997-11-29
12995,Assistant Engineer,1988-01-08,1995-01-08
12995,Engineer,1995-01-08,2002-01-08
12995,Senior Engineer,2002-01-08,9999-01-01
13009,Engineer,1997-01-23,9999-01-01
13039,Engineer,1985-10-29,1994-10-29
13039,Senior Engineer,1994-10-29,9999-01-01
13053,Staff,1996-10-16,9999-01-01
13062,Technique Leader,1993-01-08,2000-05-31
13078,Senior Staff,1991-01-01,9999-01-01
13083,Staff,1995-04-10,9999-01-01
13085,Engineer,1987-01-15,1992-01-15
13085,Senior Engineer,1992-01-15,9999-01-01
13129,Senior Staff,1997-11-17,9999-01-01
13130,Engineer,1987-11-28,1989-01-10
13137,Senior Engineer,1994-03-25,9999-01-01
13152,Engineer,1985-11-28,1993-11-28
13152,Senior Engineer,1993-11-28,9999-01-01
13163,Engineer,1987-03-31,1996-03-30
13163,Senior Engineer,1996-03-30,9999-01-01
13170,Senior Staff,1998-01-09,9999-01-01
13170,Staff,1993-01-09,1998-01-09
13172,Senior Staff,1998-09-02,9999-01-01
13172,Staff,1993-09-02,1998-09-02
13203,Senior Staff,1995-01-12,9999-01-01
13203,Staff,1990-01-12,1995-01-12
13225,Senior Staff,2000-01-11,9999-01-01
13225,Staff,1992-01-11,2000-01-11
13241,Senior Staff,1998-06-20,9999-01-01
13241,Staff,1991-06-20,1998-06-20
13257,Senior Staff,1995-07-12,9999-01-01
13257,Staff,1986-07-12,1995-07-12
13267,Senior Engineer,1998-09-12,9999-01-01
13302,Engineer,1990-09-26,1997-09-26
13302,Senior Engineer,1997-09-26,9999-01-01
13304,Senior Staff,1998-01-23,9999-01-01
13304,Staff,1991-01-23,1998-01-23
13310,Technique Leader,1995-09-08,9999-01-01
13314,Senior Staff,2000-04-14,9999-01-01
13314,Staff,1993-04-14,2000-04-14
13325,Engineer,1994-05-30,1999-05-30
13325,Senior Engineer,1999-05-30,9999-01-01
13333,Assistant Engineer,1988-03-23,1996-03-23
13333,Engineer,1996-03-23,9999-01-01
13342,Engineer,1999-03-12,9999-01-01
13365,Engineer,1997-11-04,9999-01-01
13374,Senior Engineer,1997-08-13,9999-01-01
13406,Assistant Engineer,1996-03-04,9999-01-01
13407,Engineer,1992-10-03,2001-10-03
13407,Senior Engineer,2001-10-03,9999-01-01
13442,Senior Staff,1994-06-16,9999-01-01
13442,Staff,1987-06-16,1994-06-16
13450,Engineer,1986-03-15,1995-03-15
13450,Senior Engineer,1995-03-15,9999-01-01
13455,Engineer,1989-11-26,1997-11-26
13455,Senior Engineer,1997-11-26,9999-01-01
13466,Senior Staff,1996-11-06,9999-01-01
13480,Technique Leader,1993-06-18,9999-01-01
13482,Engineer,1989-08-11,1992-07-05
13494,Engineer,1985-10-07,1994-10-07
13494,Senior Engineer,1994-10-07,9999-01-01
13513,Senior Staff,1992-01-24,1999-04-19
13522,Senior Staff,2002-06-01,9999-01-01
13522,Staff,1997-06-01,2002-06-01
13537,Assistant Engineer,1985-03-20,1991-03-20
13537,Engineer,1991-03-20,1997-03-19
13537,Senior Engineer,1997-03-19,9999-01-01
13550,Assistant Engineer,1992-04-15,1997-04-15
13550,Engineer,1997-04-15,1998-02-25
13555,Senior Staff,1993-11-07,9999-01-01
13555,Staff,1988-11-07,1993-11-07
13561,Senior Engineer,1985-07-05,9999-01-01
13599,Senior Staff,2001-11-12,9999-01-01
13599,Staff,1992-11-12,2001-11-12
13619,Engineer,1992-10-12,1998-10-12
13619,Senior Engineer,1998-10-12,9999-01-01
13642,Senior Staff,2000-03-04,9999-01-01
13642,Staff,1992-03-04,2000-03-04
13650,Senior Staff,1996-11-19,9999-01-01
13659,Senior Staff,1992-03-07,2000-07-10
13668,Staff,1991-12-11,1992-09-09
13669,Assistant Engineer,1998-11-05,9999-01-01
13674,Engineer,1995-01-05,9999-01-01
13681,Assistant Engineer,1989-08-03,1997-08-03
13681,Engineer,1997-08-03,9999-01-01
13682,Staff,2000-01-09,9999-01-01
13708,Engineer,1991-05-10,2000-05-09
13708,Senior Engineer,2000-05-09,9999-01-01
13720,Senior Staff,1994-03-01,9999-01-01
13720,Staff,1989-03-01,1994-03-01
13722,Senior Engineer,1999-12-15,2001-03-15
13723,Senior Staff,1992-09-13,9999-01-01
13764,Senior Staff,2001-05-01,9999-01-01
13764,Staff,1994-05-01,2001-05-01
13774,Senior Staff,1991-04-11,9999-01-01
13798,Engineer,1991-02-17,1996-02-17
13798,Senior Engineer,1996-02-17,9999-01-01
13804,Senior Staff,2002-01-31,9999-01-01
13804,Staff,1995-01-31,2002-01-31
13812,Senior Staff,1996-09-11,9999-01-01
13814,Staff,1985-05-31,1990-11-12
13843,Assistant Engineer,1996-02-28,2001-02-27
13843,Engineer,2001-02-27,9999-01-01
13849,Engineer,1989-04-24,1996-04-24
13849,Senior Engineer,1996-04-24,9999-01-01
13856,Senior Staff,1995-04-26,9999-01-01
13857,Senior Engineer,1990-11-09,9999-01-01
13863,Senior Staff,1999-03-23,9999-01-01
13863,Staff,1990-03-23,1999-03-23
13866,Staff,1999-12-25,9999-01-01
13903,Engineer,1997-03-24,2002-03-24
13903,Senior Engineer,2002-03-24,9999-01-01
13913,Technique Leader,1997-12-18,9999-01-01
13925,Engineer,1999-05-08,9999-01-01
13936,Staff,1994-06-03,9999-01-01
13941,Senior Staff,1999-06-01,9999-01-01
13953,Senior Engineer,1997-04-08,9999-01-01
13960,Senior Staff,1996-04-06,9999-01-01
13968,Technique Leader,1993-09-07,9999-01-01
13974,Staff,1998-03-18,2001-04-26
13982,Senior Staff,1991-05-31,9999-01-01
13982,Staff,1986-05-31,1991-05-31
13983,Staff,2000-01-12,9999-01-01
14003,Senior Engineer,1999-04-13,9999-01-01
14021,Assistant Engineer,1988-01-07,1997-01-06
14021,Engineer,1997-01-06,9999-01-01
14027,Engineer,1996-01-14,2002-01-13
14027,Senior Engineer,2002-01-13,9999-01-01
14036,Senior Staff,1992-10-06,9999-01-01
14036,Staff,1987-10-07,1992-10-06
14053,Senior Staff,1989-05-26,9999-01-01
14062,Engineer,1987-10-17,1992-10-16
14062,Senior Engineer,1992-10-16,9999-01-01
14066,Staff,1996-10-29,9999-01-01
14069,Engineer,1996-04-27,9999-01-01
14074,Engineer,1997-11-26,9999-01-01
14076,Engineer,1996-01-31,2002-06-15
14078,Engineer,1987-11-01,1993-10-31
14078,Senior Engineer,1993-10-31,9999-01-01
14087,Engineer,1997-11-21,9999-01-01
14096,Senior Staff,1993-11-12,9999-01-01
14108,Staff,1994-02-10,2000-06-21
14170,Staff,1998-09-13,2001-04-16
14179,Senior Staff,1993-09-18,9999-01-01
14195,Engineer,1998-12-08,2001-10-08
14198,Engineer,1990-12-02,1999-12-02
14198,Senior Engineer,1999-12-02,9999-01-01
14203,Technique Leader,1988-03-06,9999-01-01
14207,Senior Staff,1999-08-05,9999-01-01
14207,Staff,1993-08-05,1999-08-05
14209,Senior Staff,1988-04-06,9999-01-01
14210,Senior Staff,1999-06-10,9999-01-01
14210,Staff,1993-06-10,1999-06-10
14216,Engineer,1998-03-11,9999-01-01
14217,Senior Staff,2002-04-02,9999-01-01
14217,Staff,1993-04-02,2002-04-02
14220,Senior Engineer,1987-12-02,9999-01-01
14261,Engineer,1993-09-25,2000-09-25
14261,Senior Engineer,2000-09-25,9999-01-01
14265,Senior Engineer,1986-01-06,1998-06-30
14290,Senior Engineer,1992-03-29,9999-01-01
14305,Senior Engineer,1994-06-15,9999-01-01
14325,Staff,1999-07-29,9999-01-01
14347,Engineer,1995-07-12,9999-01-01
14363,Engineer,1985-06-27,1990-06-27
14363,Senior Engineer,1990-06-27,9999-01-01
14410,Engineer,1990-02-22,1996-02-22
14410,Senior Engineer,1996-02-22,9999-01-01
14436,Assistant Engineer,1993-07-13,2001-07-13
14436,Engineer,2001-07-13,9999-01-01
14450,Senior Engineer,1985-04-26,1996-12-30
14461,Senior Staff,1991-04-20,9999-01-01
14461,Staff,1986-04-20,1991-04-20
14466,Senior Engineer,1995-04-15,2000-02-19
14467,Senior Engineer,1995-02-11,9999-01-01
14476,Engineer,1999-09-25,9999-01-01
14485,Engineer,1996-01-13,9999-01-01
14491,Engineer,1997-08-27,1997-12-28
14494,Technique Leader,1990-08-11,9999-01-01
14498,Senior Staff,1994-10-17,9999-01-01
14498,Staff,1988-10-17,1994-10-17
14529,Senior Staff,2001-04-30,9999-01-01
14529,Staff,1995-05-01,2001-04-30
14551,Senior Staff,1993-06-27,1993-09-16
14573,Engineer,1989-04-17,1998-04-17
14573,Senior Engineer,1998-04-17,2001-03-30
14579,Engineer,1998-05-19,9999-01-01
14586,Senior Engineer,1989-07-18,9999-01-01
14590,Senior Staff,1990-05-14,1995-12-28
14590,Staff,1985-05-14,1990-05-14
